No.,UPT,ULTG,Lokasi,Nama Bay,Uraian Pekerjaan,Peralatan Padam,Padam,Sifat,PN Jawab,Awal HARI,Awal TGL,Awal BULAN,Awal TAHUN,Awal JAM,Akhir JAM,PERALATAN
12,GANDUL,ULTG PETUKANGAN,GIS 150KV ANTASARI,TRF#3 150/20 kV,Pasca pekerjaan investigasi dan tindak lanjut gangguan trafo 3 gis antasari,TRF#3 150/20 kV,150KV,3,M.UPT,RABU,4,MAR,2026,,,
13,GANDUL,ULTG TANGERANG SELATAN,GIS 150KV SAWANGAN,SUTT Gandul - Sawangan,"Pekerjaan Emergency bay Gandul #2, penambahan mur sakle di T.214 phasa R SUTT Gandul-Sawangan",SUTT Gandul - Sawangan,150KV,3,M.UPT,KAMIS,5,MAR,2026,10:48,,
14,DURIKOSAMBI,ULTG ANGKE,GI 150KV ANGKE,Bay Ancol #1,Investigasi DC Ground pada Rectifier Unit 4,Bay Ancol #1,150kV,3,MUPT,SABTU,9,MAR,2025,13:07,14:27,
15,DURIKOSAMBI,ULTG ANGKE,GI 150KV ANGKE,Tanpa padam,"Investigasi anomali alarm HMI, TCS dan Alarm breaker failure Bay Ketapang #1",Tanpa padam,150kV,5,MUPT,SABTU,2,MAR,2025,08:00,16:00,
16,GANDUL,ULTG TANGERANG SELATAN,GI 150KV SERPONG,PHT 150KV Bintaro #2,Pekerjaan Emergency Perbaikan Hotspot DS Bus A Phasa S Bay Bintaro #2 ,PHT 150KV Bintaro #2,150KV,3,MUPT,SENIN,9,MAR,2026,21:39,,
17,GANDUL,ULTG TANGERANG SELATAN,GI 150KV SERPONG,,Pekerjaan Emergency Perbaikan Hotspot  DS Bus A Phasa T,,150KV,3,MUPT,SENIN,9,MAR,2026,21:39,,
18,GANDUL,ULTG TANGERANG SELATAN,GI 150KV SERPONG,PHT 150KV Sawangan #2,Pekerjaan Emergency Resetting DS Bus A Bay Sawangan #2,PHT 150KV Sawangan #2,150KV,3,MUPT,SENIN,9,MAR,2026,21:39,,
19,GANDUL,ULTG TANGERANG SELATAN,GIS 150KV SAWANGAN,SUTT 150KV Sawangan-Serpong,Pekerjaan Pergantian isolator di Tower 22 SUTT 150KV Sawangan-Serpong,SUTT 150KV Sawangan-Serpong,150KV,3,MUPT,KAMIS,12,MAR,2026,09:33,,
20,GANDUL,ULTG GANDUL,GITET 500KV DEPOK,PHT 500KV TASIKMALAYA,Perbaikan konduktor putus di wavetrap bay Tasikmalaya,PHT 500KV TASIKMALAYA,500KV,3,MUPT,JUM'AT,20,MAR,2026,22:12,,
21,GANDUL,ULTG TANGERANG SELATAN,GI 150KV SERPONG,PMT 150KV KAPASITOR #1,Emergency Investigasi PMT 150kV Kapasitor #1 ,PMT 150KV KAPASITOR #1,150KV,3,MUPT,SELASA,7,APR,2026,19:32,,
